55801_sweeps	IndivName	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
2	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
3	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
4	NoName	0.00000	0.99953	0.00000	0.00000	0.00000	0.00047
5	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
6	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
7	NoName	0.00000	0.67893	0.00000	0.00476	0.00000	0.31630
8	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
9	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
10	NoName	0.43739	0.00000	0.00000	0.00013	0.56248	0.00000
11	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
12	NoName	0.00000	0.99969	0.00000	0.00000	0.00000	0.00031
13	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
14	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
15	NoName	0.00000	0.99987	0.00000	0.00000	0.00000	0.00013
16	NoName	0.00000	0.99956	0.00000	0.00000	0.00000	0.00044
17	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
18	NoName	0.99319	0.00000	0.00000	0.00047	0.00635	0.00000
19	NoName	0.00000	0.99981	0.00000	0.00000	0.00000	0.00019
20	NoName	0.99996	0.00000	0.00000	0.00000	0.00004	0.00000
21	NoName	0.98933	0.00000	0.00000	0.00081	0.00986	0.00000
22	NoName	0.00000	0.99995	0.00000	0.00000	0.00000	0.00005
23	NoName	0.99989	0.00000	0.00000	0.00000	0.00011	0.00000
24	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
25	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
26	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
27	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
28	NoName	0.00000	0.99961	0.00000	0.00000	0.00000	0.00039
29	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
30	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
31	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
32	NoName	0.00000	0.98247	0.00000	0.00027	0.00000	0.01725
33	NoName	0.99538	0.00000	0.00000	0.00012	0.00450	0.00000
34	NoName	0.00025	0.99104	0.00008	0.00093	0.00008	0.00761
35	NoName	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
36	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
37	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
38	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
39	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
40	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
41	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
42	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
43	NoName	0.99883	0.00000	0.00000	0.00000	0.00117	0.00000
44	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
45	NoName	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
46	NoName	0.00000	0.94682	0.00000	0.00000	0.00000	0.05318
47	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
48	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
49	NoName	0.99973	0.00000	0.00000	0.00000	0.00027	0.00000
50	NoName	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
51	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
52	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
53	NoName	0.99996	0.00000	0.00000	0.00000	0.00004	0.00000
54	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
55	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
56	NoName	0.99887	0.00000	0.00000	0.00001	0.00113	0.00000
57	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
58	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
59	NoName	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
60	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
61	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
62	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
63	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
64	NoName	0.00000	0.99995	0.00000	0.00000	0.00000	0.00005
65	NoName	0.00000	0.99965	0.00000	0.00000	0.00000	0.00035
66	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
67	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
68	NoName	0.00000	0.99990	0.00000	0.00000	0.00000	0.00010
69	NoName	0.00000	0.99810	0.00000	0.00005	0.00000	0.00184
70	NoName	0.00000	0.99900	0.00000	0.00000	0.00000	0.00100
71	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
72	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
73	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
74	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
75	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
76	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
77	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
78	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
79	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
80	NoName	0.00000	0.99900	0.00000	0.00000	0.00000	0.00100
81	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
82	NoName	0.99120	0.00000	0.00000	0.00075	0.00805	0.00000
83	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
84	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
85	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
86	NoName	0.98774	0.00000	0.00000	0.00000	0.01226	0.00000
87	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
88	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
89	NoName	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
90	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
91	NoName	0.99963	0.00000	0.00000	0.00000	0.00037	0.00000
92	NoName	0.00000	0.00001	0.00010	0.00049	0.00000	0.99941
93	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
94	NoName	0.99857	0.00000	0.00000	0.00001	0.00142	0.00000
95	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
96	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
97	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
98	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
99	NoName	0.00150	0.98929	0.00033	0.00094	0.00032	0.00761
100	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
101	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
102	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
103	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
104	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
105	NoName	0.00000	0.99991	0.00000	0.00000	0.00000	0.00009
106	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
107	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
108	NoName	0.99403	0.00000	0.00000	0.00000	0.00597	0.00000
109	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
110	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
111	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
112	NoName	0.99990	0.00000	0.00000	0.00000	0.00010	0.00000
113	NoName	0.99978	0.00000	0.00000	0.00000	0.00022	0.00000
114	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
115	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
116	NoName	0.57964	0.00000	0.00000	0.00006	0.42030	0.00000
117	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
118	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
119	NoName	0.99976	0.00000	0.00000	0.00000	0.00024	0.00000
120	NoName	0.00000	0.99951	0.00000	0.00000	0.00000	0.00049
121	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
122	NoName	0.00000	0.99987	0.00000	0.00000	0.00000	0.00013
123	NoName	0.71533	0.08641	0.00200	0.09281	0.08149	0.02195
124	NoName	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
125	NoName	0.00000	0.99992	0.00000	0.00000	0.00000	0.00008
126	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
127	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
128	NoName	0.00000	0.99987	0.00000	0.00000	0.00000	0.00013
129	NoName	0.00000	0.99900	0.00000	0.00001	0.00000	0.00099
130	NoName	0.00000	0.99987	0.00000	0.00000	0.00000	0.00013
131	NoName	0.99921	0.00000	0.00000	0.00000	0.00079	0.00000
132	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
133	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
134	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
135	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
136	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
137	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
138	NoName	0.99984	0.00000	0.00000	0.00000	0.00016	0.00000
139	NoName	0.95562	0.00000	0.00000	0.00004	0.04434	0.00000
140	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
141	NoName	0.84253	0.00000	0.00000	0.01636	0.14110	0.00000
142	NoName	0.99982	0.00000	0.00000	0.00000	0.00018	0.00000
143	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
144	NoName	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
145	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
146	NoName	0.99996	0.00000	0.00000	0.00000	0.00004	0.00000
147	NoName	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
148	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
149	NoName	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
150	NoName	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
151	NoName	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
152	NoName	0.04851	0.94003	0.00193	0.00081	0.00183	0.00688
153	NoName	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
154	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
155	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
156	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
157	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
158	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
159	NoName	0.00000	0.99985	0.00000	0.00000	0.00000	0.00015
160	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
161	NoName	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
162	NoName	0.99983	0.00000	0.00000	0.00000	0.00017	0.00000
163	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
